id_parameter,cd_parameter,cd_configuration,cd_algorithm,ds_algorithm,cd_function,ds_function,id_device,ds_device,cd_dataset,cd_resource,nr_iterations,ds_tp_parameter,vl_dataset_row_size,vl_dataset_column_size,vl_grid_row_size,vl_grid_column_size,vl_block_row_size,vl_block_column_size,ds_status_parallelism,vl_block_size_percent_dataset,ds_resource,nr_nodes,nr_computing_units_cpu,nr_computing_units_gpu,vl_memory_per_cpu_computing_unit,vl_memory_per_gpu_computing_unit,ds_dataset,vl_dataset_memory_size,ds_data_type,vl_data_type_memory_size,vl_dataset_size,vl_dataset_row_size,vl_dataset_column_size,nr_random_state
1,1,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,4,2500,625,1,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
2,1,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,4,2500,625,1,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
3,2,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,4,84,63,3,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
4,2,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,4,84,63,3,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
5,3,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,4,1,7,25,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
6,3,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,4,1,7,25,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
7,4,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,4,4,13,13,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
8,4,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,4,4,13,13,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
9,5,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,4,2500000,625000,1,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
10,5,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,5,1,5,VAR_BLOCK_CAPACITY_SIZE,2500000,1,4,2500000,625000,1,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_1,10000000,FLOAT32,4,2500000,2500000,1,170
11,6,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,4,83334,62500,3,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
12,6,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,6,1,5,VAR_BLOCK_CAPACITY_SIZE,250000,10,4,83334,62500,3,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_2,10000000,FLOAT32,4,2500000,250000,10,170
13,7,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,7,1,5,VAR_BLOCK_CAPACITY_SIZE,25000,100,4,1000,6250,25,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_MEDIUM_10MB_3,10000000,FLOAT32,4,2500000,25000,100,170
